City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.97,light rain,-23.1203,-134.9692,People ThankYou
1,Ciudad Guayana,VE,83.52,scattered clouds,8.3533,-62.6528,Hotel Las Americas
9,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
10,Praya,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
14,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Calderitas,MX,82.51,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
22,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Fougamou,GA,82.02,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
25,Rio Verde De Mato Grosso,BR,86.23,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
28,Hermanus,ZA,78.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
38,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
45,Atuona,PF,78.37,few clouds,-9.8,-139.0333,Villa Enata
50,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Mar Del Plata,AR,75.22,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
61,Karratha,AU,86.0,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
62,Vaini,TO,79.84,light rain,-21.2,-175.2,Keleti Beach Resort
65,Caucaia,BR,87.08,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
71,Arraial Do Cabo,BR,85.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
81,Sidvokodvo,SZ,78.46,light rain,-26.6282,31.4202,Rider's Ranch
85,Kollo,NE,86.43,clear sky,13.3043,2.339,
95,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
103,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
106,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
110,Puerto Parra,CO,86.16,broken clouds,6.6515,-74.0573,Casa Hotel Villa Johana
